harness,suite,suite-bugbench,crashing,lang-c,lang-cpp,lang-rust,slow,fast,shallow,big,progress-24h,fuzzbench,requires-sjlj,buggy-harness-upstream,wasm-specific-crash,buggy-port,buggy-project
askama-askama_parser-fuzz_parser.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
askama-fuzz_filters.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
bincode-compat.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bincode-roundtrip.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
borsh-borsh-fuzz.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
brotli-decode.wasm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
claxon-decode_full.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
claxon-decode_header.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
claxon-decode_single_block.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
claxon-diff.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
expat-xml_parse_US-ASCII.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
expat-xml_parse_UTF-8.wasm,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
expat-xml_parsebuffer_US-ASCII.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
expat-xml_parsebuffer_UTF-8.wasm,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
freetype2-ftfuzzer.wasm,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
gecko-dev-fuzz_target_qcms.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gecko-dev-prefreader.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gimli-debug_abbrev.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gimli-debug_aranges.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gimli-debug_info.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
gimli-debug_line.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gimli-eh_frame.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gimli-eh_frame_hdr.wasm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
gitoxide-fuzz_commit.wasm,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
gitoxide-fuzz_file.wasm,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
gitoxide-fuzz_search.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gitoxide-fuzz_tag.wasm,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
gitoxide-fuzz_tree.wasm,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
gitoxide-parse.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
goblin-parse.wasm,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
goblin-parse_elf.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
graphite-font.wasm,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
graphite-segment.wasm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
html5ever-fuzz_document_parse.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
hunspell-affdicfuzzer.wasm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
image-roundtrip_webp.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
image_script_bmp.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
image_script_exr.wasm,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
image_script_gif.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
image_script_guess.wasm,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
